,non-AL TF ML vs. AL TF ML,AL TF ML vs. DeepSCAMs,non-AL TF ML vs. DeepSCAMs,metric
0,0.00390625,0.00390625,0.203125,AUC_LB_test
1,0.00390625,0.00390625,0.12890625,AUC_test
2,0.00390625,0.00390625,0.12890625,AUC_UB_test
3,0.00390625,0.00390625,0.91015625,Accuracy_test
4,0.00390625,0.00390625,0.8203125,F1_test
5,0.00390625,0.00390625,0.91015625,MCC_test
6,0.00390625,0.00390625,0.00390625,AUC_LB_validation
7,0.00390625,0.00390625,0.00390625,AUC_validation
8,0.00390625,0.00390625,0.00390625,AUC_UB_validation
9,0.00390625,0.00390625,0.00390625,Accuracy_validation
10,0.00390625,0.00390625,0.00390625,F1_validation
11,0.00390625,0.00390625,0.00390625,MCC_validation
