,Iteration,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,9,0.6891735250109446,0.7960151802656547,0.9028568355203647,0.6615384615384615,0.6944444444444445,0.3476045138405155,0.71745853243572,0.7598446470786896,0.8022307617216592,0.7072691552062869,0.7824817518248174,0.33961141667993183
0,8,0.6260855379923703,0.7466793168880456,0.8672730957837208,0.5384615384615384,0.6666666666666666,0.1980904022393372,0.7045571385363927,0.7474113996406988,0.7902656607450049,0.7053045186640472,0.7807017543859648,0.35146540444143043
0,7,0.719471071075501,0.818785578747628,0.918100086419755,0.676923076923077,0.6557377049180327,0.3517116622185878,0.7127954164022381,0.7554845367688671,0.798173657135496,0.6601178781925344,0.70223752151463,0.32869400429079926
0,6,0.7469981876723739,0.8415559772296014,0.9361137667868289,0.676923076923077,0.6956521739130435,0.3673409772991991,0.7471170473310251,0.7875135829299617,0.8279101185288982,0.7170923379174853,0.7639344262295081,0.41492908499486725
0,5,0.7868839474530684,0.8709677419354839,0.9550515364178993,0.7692307692307693,0.7887323943661972,0.5649469757322313,0.7397411783489947,0.7816796225262229,0.8236180667034512,0.7210216110019646,0.7724358974358975,0.420641187126994
0,4,0.7088758338154239,0.8107210626185958,0.9125662914217677,0.6461538461538462,0.7160493827160493,0.37678522983845175,0.7349084115328683,0.7751986819150999,0.8154889522973314,0.7170923379174853,0.7831325301204819,0.39077671121079405
0,3,0.7361141201629722,0.833965844402277,0.9318175686415817,0.7538461538461538,0.7777777777777778,0.539081576549274,0.7433862184237016,0.7839960726558663,0.8246059268880311,0.7210216110019646,0.761744966442953,0.4319536866056317
0,2,0.7715793285603302,0.8614800759013282,0.9513808232423263,0.7846153846153846,0.8,0.5910196594227318,0.771510638752331,0.8089952153110047,0.8464797918696785,0.7406679764243614,0.7814569536423841,0.46271210382637334
0,1,0.8242973440878143,0.9003795066413661,0.976461669194918,0.7846153846153846,0.8055555555555556,0.6029072641188602,0.7269524349577042,0.7683750690181559,0.8097977030786075,0.730844793713163,0.7901990811638592,0.4208821455954729
0,0,0.741514274667187,0.8363377609108159,0.9311612471544448,0.6923076923076923,0.7222222222222222,0.41143020141010167,0.7405737024601103,0.7815251186385208,0.8224765348169313,0.7210216110019646,0.7724358974358974,0.41224309195108677
